id,code,name,rufname,rasse,geschlecht,geburtsdatum,gewicht_kg,groesse_cm,kunden_id,trainingsziele,notizen,felltyp,kastriert,fellfarbe,groesse_typ,herkunft,chip_nummer,created_at,updated_at,schema_version,version,status
019b6fbf-c2b7-70ad-a276-245efcb19832,DT-1,Jecko,,Zwergbullterrier,W,2007-04-30,0.00,,019b6f8b-fc47-768e-bfc8-a0964e841abd,,"16.12.2011 rifo: Heute xxxxx
Nä. Mal yyyyy",,,,,Hund,123456789101234,,,1,0,
019b6fbf-c2b7-726b-b5e7-6fe986887c79,DT-8,Bonnie zum hohlen Fels,Bonnie,Cairn Terrier,W,2011-04-21,0.00,,019b6f8b-fc47-775d-bc15-1b521ca9ad9b,,,,,,,Hund,,,,1,0,
019b6fbf-c2b7-733e-ae98-4e2c5d53f332,DT-10,Sunny,Sunny,Appenzeller x Bordercollie,M,2007-06-12,0.00,,019b6f8b-fc48-71a6-bd82-806792803290,,,,,,,Hund,,,2026-01-22T15:34:36.000Z,1,0,
019b6fbf-c2b7-7348-9a88-eb249e87d7da,DT-5,Bella,Bella,Bolonka Zwetna,W,2010-11-18,0.00,,019b6f8b-fc47-73b7-87c6-bfebb369c918,,,,,,,Hund,,,2026-01-22T15:34:37.000Z,1,0,
019b6fbf-c2b7-73a3-aba1-081fcc2a6c48,DT-2,Keron,Keron,Mittelschnauzer,M,2010-04-29,0.00,,019b6f8b-fc47-7309-a1ba-77f7aed5b220,,10.08.2011 rifo: Leinenaggression,,1,,,Hund,,,2026-01-22T15:34:36.000Z,1,0,
019b6fbf-c2b7-74d0-b1e2-19cb7a383c92,DT-7,Lester,Lester,Engl. Cocker Spaniel,M,2008-12-30,0.00,,019b6f8b-fc47-7403-b766-90c1caf66802,,,,,,,Hund,,,2026-01-22T15:34:36.000Z,1,0,
019b6fbf-c2b7-7594-95c6-7797fb015e55,DT-9,Stone,Stone,Altdeutscher Schäferhund,M,2011-02-12,0.00,,019b6f8b-fc47-70b2-9652-23248f4e1590,,,langhaar,0,braun-schwarz,,Hund,276098104094204,,2026-01-22T15:34:36.000Z,1,0,
019b6fbf-c2b7-7c31-b540-7257c5fce974,DT-3,Nanook,Nanook,Tibet Terrier,M,2011-05-31,0.00,,019b6f8b-fc47-70b8-89ca-39da6b1c0907,,,,,,,Hund,,,2026-01-22T15:34:36.000Z,1,0,
019b6fbf-c2b7-7cde-a98c-4a8816427bfb,DT-6,Balou,Balou,Border-Mix,M,2010-08-13,0.00,,019b6f8b-fc47-7769-b2ce-ed0a862b1a59,,,,,,,Hund,,,2026-01-22T15:34:36.000Z,1,0,
019b6fbf-c2b8-700a-828e-8ea681fb81ef,DT-89,Zeus,Zeus,Biewer Yorkshire Terrier,M,2011-02-08,0.00,,019b6f8b-fc48-7b23-a400-2621ad0194cc,,,,,,,Hund,,,2026-01-22T15:34:36.000Z,1,0,
019b6fbf-c2b8-700b-b663-9a0695937571,DT-125,Mirio,Miro,Berger Blanc Suisse,M,2011-01-22,0.00,,019b6f8b-fc48-7754-a88f-12c298b29dc7,,,halblanghaar,0,weiss,,Hund,7560981005339724,,,1,0,
